IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;BESOIN_RES_NUM;DATE_DECLARATION_OPERATEUR
@ction telecom;CTIO;4,51818E+13;Agen;LIEU DIT LA TUQUE   47240 CASTELCULIER   ;0;09/11/2018 00:00
@FER Conseil;AFER;7,50531E+13;VANNES; 9-10 PLACE D’IRLANDE  56860 SENE   ;0;12/09/2014 00:00
+2 COM;2COM;5,10225E+13;Paris; 49 RUE DE PONTHIEU  75008 PARIS   ;0;10/01/2018 00:00
1.0 ACOLA;ACOL;7,49813E+13;NANTERRE; 20 BIS RUE LOUIS PHILIPPE  92200 NEUILLY SUR SEINE   ;0;08/02/2013 00:00
118 218 Le numéro;LNUM;4,78343E+13;Paris; 25 RUE DE LA CLEF  75005 PARIS   ;1;09/11/2004 00:00
118000;TLGT;4,53465E+13;Paris; 137 BOULEVARD DE SEBASTOPOL  75002 PARIS   ;1;15/07/2004 00:00
118500.fr;11FR;8,19272E+13;Marseille; 12 BOULEVARD D ATHENES  13001 MARSEILLE   ;0;18/07/2016 00:00
123 Multimedia;123U;7,98073E+13;TOULOUSE; 9 IMPASSE DU MESCURT  31470 SAINT-LYS   ;0;15/11/2013 00:00
17-Numerique;17N;4,95106E+13;La Rochelle; ZONE INDUSTRIELLE DES QUATRE CHEVALIER  17180 PERIGNY   ;1;18/04/2007 00:00
1913;19131;4,81422E+13;Nanterre;IMMEUBLE LE PELISSIER 218 AVENUE PIERRE BROSSOLETTE  92240 MALAKOFF   ;0;02/03/2018 00:00
1Formatic' Services;1FOR;4,42293E+13;MEAUX B; 5 RUE DE PARIS  77580 VILLIERS SUR MORIN   ;0;23/03/2021 00:00
1NCE GmbH;1NCE; ;HRB 92529 Allemagne;STERNENGASSE 14-16    50676 COLOGNE   ALLEMAGNE;0;05/07/2018 00:00
2 F IMAGE;2FIM;4,01563E+13;DIJON; 3 RUE DES VERGERS  21121 HAUTEVILLE-LES-DIJON   ;0;21/06/2013 00:00
2 SI systemes;2SIS;3,48731E+13;Soissons; 4 PLACE DE LAON  02200 SOISSONS   ;0;19/12/2017 00:00
2C communication;2CIO;8,43746E+13;Paris; 128 RUE DE LA BOETIE  75008 PARIS   ;0;06/12/2018 00:00
2ccom;2CCO;4,43883E+13;STRASBOURG; 2 RUE MAURICE RAVEL  67118 GEISPOLSHEIM   ;0;29/08/2019 00:00
2J digital;2JDI;8,77615E+13;Bobigny; 8/12 RUE DE LISBONNE  93110 ROSNY-SOUS-BOIS   ;0;20/10/2020 00:00
2L Communications;2LCO;5,09477E+13;Bergerac;VIALARD ZAE DU PERIGORD NOIR  24200 CARSAC-AILLAC   ;0;21/12/2020 00:00
2LINFO;2LNF;882761588;Thonon-les-Bains; 33 RUE DU BIEF  74380 BONNE   ;0;20/11/2020 00:00
2RS-Solutions;2RSS;8,15364E+13;Lille; 4 RUE DU PLOUVIER  59175 TEMPLEMARS   ;0;04/04/2019 00:00
2SREI;2SRE;4,83716E+13;Avignon; 558 CHEMIN PIED MARIN N° 1  84380 MAZAN   ;0;19/12/2019 00:00
2WS technologies;2WST;8,30487E+13;Lille Métropole; 1 RUE DU QUAI  59800 LILLE NORD  ;0;30/09/2020 00:00
3 C NET;3CNE;4,49509E+13;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;22/04/2010 00:00
31 TELECOM;31TE;7,92287E+13;PARIS; 5 RUE DE CASTIGLIONE  75001 PARIS   ;0;07/05/2013 00:00
3C IP Connect;3CIP;8,80632E+13;Meaux; 30 RUE LEON JOUHAUX  77183 CROISSY BEAUBOURG   ;0;06/08/2020 00:00
3Roam;3ROA;4,84184E+13;Grasse;BUROPOLIS 2 1240 ROUTE DES DOLINES  06560 VALBONNE   ;0;29/03/2017 00:00
3TIC;3TIC;4,41495E+13;Gueret; 25 AVENUE DE LA REPUBLIQUE  23000 GUERET   ;0;19/04/2007 00:00
4 office;4OFF;7,52801E+13;Lisieux; 7 RUE DE GEOLE  14290 ORBEC   ;0;02/07/2020 00:00
440HZ;440H;7,90139E+13;PARIS; 21 RUE JEAN MERMOZ  75008 PARIS   ;1;15/01/2013 00:00
47 fibre;47FI;8,24354E+13;Paris; 78 RUE OLIVIER DE SERRES  75015 PARIS   ;0;12/10/2018 00:00
4call;4CLL;883972978;Aubenas; 277 ROUTE DE BANNE  07460 SAINT PAUL LE JEUNE   ;1;21/06/2020 00:00
4connect;4CNN;8,23675E+13;Nanterre; 2B AVENUE DESFEUX  92100 BOULOGNE BILLANCOURT   ;0;17/04/2020 00:00
512IT;512T;8,82412E+13;Avignon; 652 CHEMIN DE LA PEYRIERE  84120 PERTUIS   ;0;30/03/2020 00:00
6 COM;6COM;4,40256E+13;Bobigny; 78/80 RUE DU DOCTEUR BAUER  93400 SAINT OUEN   ;1;10/11/2004 00:00
6Tek;6TEK;8,39486E+13;Aubenas; 1176 ROUTE DE LA CROIX DU FRAYSSE  07300 CHEMINAS   ;0;31/07/2019 00:00
7 7 24 24;7724;7,99137E+13;Besançon; 9 RUE DE BESANCON  25300 DOUBS   ;0;16/12/2016 00:00
9341-2419 Québec inc;QUEB; ;1171831341; 33 RUE PRINCE  H3C2M7 MONTREAL   CANADA;0;12/02/2019 00:00
A.Arrow;AARR;8,44213E+13;Paris; 35  BOULEVARD DE LA CHAPELLE  75010 PARIS   ;0;30/08/2019 00:00
A.B solutions;ABNS;8,37865E+13;Paris; 26 TER RUE NICOLAI  75012 PARIS   ;0;07/10/2018 00:00
A.C.R.T.;ACRT;4,19962E+13;Villefranche-Tarare; 159 RUE GEORGES MANGIN  69400 VILLEFRANCHE-SUR-SAONE   ;0;18/07/2018 00:00
A.D.I. telephonie;ADIT;4,52172E+13;LE MANS;ZONE ARTISANALE DES NOES 4 RUE DES NOES  72700 SPAY   ;0;08/10/2020 00:00
A.I.L.network du pays d'Autan;AILN; ;W812003435 Albi; 7 RUE MEYER  81200 MAZAMET   ;0;02/01/2012 00:00
A.J. Phone;AJPH;4,19524E+13;Rouen;Z.A. LES PORTES DE L OUEST 9 RUE PIERRE GASSENDI  76150 LA VAUPALIERE   ;0;01/10/2014 00:00
A.M. Paris;AMPR;3,8775E+13;Pontoise; 29 BOULEVARD DU GENERAL DELAMBRE  95870 BEZONS   ;0;19/05/2020 00:00
A.M.I Audit management intégration;AMIA;8,43926E+13;Versailles; 41 BOULEVARD VAUBAN  78280 GUYANCOURT   ;0;20/12/2019 00:00
A2BL SAS;A2BL;8,0771E+13;Tours; 4 RUE DU NOUVEAU CALVAIRE  37100 TOURS   ;0;07/03/2018 00:00
A2C NET PRO;A2CN;5,10598E+13;Limoges; 3 RUE DE LA LIBERTE  87120 EYMOUTIERS   ;0;24/08/2009 00:00
A2COM;A2CM;404072787;Rennes; 1 BOULEVARD DU TRIEUX  35740 PACE   ;0;15/06/2020 00:00
A2IP telecom;A2IP;8,30998E+13;Saverne; 12 RUE D OBERMODERN  67330 OBERMODERN-ZUTZENDORF   ;0;11/06/2018 00:00
A2K informatique;A2KI;5,31737E+13;Chartres; 3 RUE HENRY POTEZ  28100 DREUX   ;0;06/09/2017 00:00
A2LTI;A2LT;4,44741E+13;Orléans; 15 RUE RAYMOND GAUDRY  45140 ST JEAN DE LA RUELLE   ;0;09/04/2020 00:00
A4plus;A4PL;8,14566E+13;Nanterre; 1 BOULEVARD CHARLES DE GAULLE  92700 COLOMBES   ;0;21/01/2019 00:00
A5 Numérique;A5NU;5,1458E+13;Saint-Denis; 187 BOULEVARD ANATOLE FRANCE  93200 SAINT-DENIS   ;0;26/06/2014 00:00
A6telecom France;A6TE;5,0299E+13;Marseille; 58 RUE ST FERREOL  13001 MARSEILLE   ;1;30/10/2015 00:00
A75 NETWORKS;A75N;5,09439E+13;Nanterre;IMMEUBLE CRISCO UNO 3-5-7 AVENUE DE LA CRISTALLERIE  92310 SEVRES   ;0;07/05/2009 00:00
